Code,Description
542,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall and performing decortication, which is peeling away the lung’s lining."
546,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall, removal of all or part of a lung, and surgical repair of the thorax."
548,"The provider performs anesthesia services for a patient undergoing a procedure involving opening the chest wall, and performing procedures on the trachea, which is the windpipe, and the bronchi, the air passages that lead from the windpipe to the lungs."
550,The provider performs anesthesia services for a patient undergoing a procedure involving removing dead or damaged tissue from the breastbone.
560,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The patient does not require a pump oxygenator to take on the work of the heart and lungs."
561,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The patient, who is younger than a year old, requires a pump oxygenator to take on the work of the heart and lungs during the procedure."
562,"The provider performs anesthesia services for a patient undergoing a procedure involving the heart, the sac around the heart, and the great vessels of the chest, such as the aorta, its major branches, and the major pulmonary vessels. The procedure is for something other than a coronary bypass procedure, but it may be a re–operation within a month of the original bypass. The patient is a year old or older and requires a pump oxygenator to take on the work of the heart and lungs."
500,"The provider performs anesthesia services for a patient undergoing a procedure on the esophagus, which is the food pipe."
520,"The provider performs anesthesia services for a patient undergoing closed chest procedures including bronchoscopy, which means viewing the windpipe for investigation. This code includes procedures that are not specifically described by another anesthesia code."
522,"The provider performs anesthesia services for a patient undergoing a closed chest procedure involving a needle biopsy of the pleura, which is the double–layered membrane covering the lungs."
524,The provider performs anesthesia services for a patient undergoing the closed chest procedure of pneumocentesis in which another provider inserts a needle into the lung to drain the fluid contents.
528,"The provider performs anesthesia services for a patient undergoing the procedure of mediastinoscopy in which another provider inserts a device with a video camera via an opening at the base of the neck to view the structures in the upper chest between the two lungs. The surgical provider may perform thoracoscopy, in which he may insert a device with a viewing camera through an opening in the side of the lower chest to view any abnormality in the contents of the pleura, the double–layered membrane covering the lung."
529,"The provider performs anesthesia services for a patient undergoing the procedure of mediastinoscopy in which another provider inserts a device with a video camera via an opening at the base of the neck to view the structures in the upper chest between the two lungs. The surgical provider may perform thoracoscopy, in which he may insert a device with a viewing camera through an opening in the side of the lower chest to view any abnormality in the contents of the pleura, the double layered membrane covering the lung. The procedure involves one lung ventilation."
530,The provider performs anesthesia services for a patient undergoing the procedure of permanent transvenous pacemaker insertion in which another provider inserts a device via a blood vessel in the neck into the chambers of the heart as a treatment for irregular beating of the heart.
532,"The provider performs anesthesia services for the procedure of accessing central venous circulation, which refers to the major veins draining blood into the heart. Another provider may use this access or entry point for various cardiac treatment or monitoring purposes."
534,"The provider performs anesthesia services for a patient undergoing the procedure of transvenous cardioverter–defibrillator insertion in which another provider inserts a device, via a blood vessel in the neck, into the chambers of the heart as a treatment for irregular beating of the heart. The surgical provider’s procedure may involve replacing the pacing cardioverter–defibrillator as well."
537,"The provider performs anesthesia services for a patient undergoing cardiac electrophysiologic procedures, such as mapping, pacing, recording, arrhythmia induction, lead testing, and similar services, as well as radiofrequency ablation."
600,The provider performs anesthesia services for a patient undergoing a procedure on the cervical spine and cord not described by another anesthesia code.
604,The provider performs anesthesia services for a patient undergoing a procedure on the cervical spine and cord while in a sitting position.
620,The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord not described in another anesthesia code.
625,"The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord, via an anterior transthoracic approach; not utilizing 1 lung ventilation."
626,"The provider performs anesthesia services for a patient undergoing a procedure on the thoracic spine and cord, via an anterior transthoracic approach; utilizing 1 lung ventilation."
630,The provider performs anesthesia services for a patient undergoing a procedure in lumbar region; not otherwise specified.
632,"The provider performs anesthesia services for a patient undergoing a procedure in the lumbar region, including a lumbar sympathectomy."
635,"The provider performs anesthesia services for a patient undergoing a procedure in the lumbar region, including a diagnostic or therapeutic lumbar puncture."
640,"The provider performs anesthesia services for a patient undergoing a manipulation of the spine or for a closed procedure on the cervical, thoracic, or lumbar spine."
670,"The provider performs anesthesia services for a patient undergoing an extensive spine and spinal cord procedures including spinal instrumentation, where the provider implants plates and screws into the spine to stabilize it, and vascular procedures on blood vessels."
790,"The provider performs anesthesia services for a patient undergoing intraperitoneal procedures in the upper abdomen, including laparoscopy, which are not specified by any other anesthesia code."
792,"The provider performs anesthesia services for a patient undergoing partial hepatectomy, which is partial removal of the liver, or undergoing management of liver hemorrhage. This code includes laparoscopy. It does not include liver biopsy."
794,"The provider performs anesthesia services for a patient undergoing a procedure of partial or total pancreatectomy, which is surgical removal of the pancreas. The surgical provider may perform a Whipple procedure, which is removal of the head of the pancreas along with the duodenum and other nearby structures, and rejoining the cut end of the pancreas to the small intestine. This code includes laparoscopy."
796,"The provider performs anesthesia services for a patient receiving a liver transplant, including laparoscopic services."
797,"The provider performs anesthesia services for a patient undergoing a gastric restrictive procedure for morbid obesity. In this procedure the surgical provider goes through the abdominal wall, possibly laparoscopically, and restricts or shrinks the volume of the stomach by putting a band across the stomach. This way, the stomach fills up sooner and the patient can decrease his food intake and lose weight."
700,"The provider performs anesthesia services for a patient undergoing a procedure on the upper anterior abdominal wall, not otherwise specified."
702,"The provider performs anesthesia services for a patient undergoing a procedure on the upper anterior abdominal wall, including a percutaneous liver biopsy."
730,The provider performs anesthesia services for a patient undergoing a procedure on the upper posterior abdominal wall.
731,"The anesthesia provider performs anesthesia services for an unspecified type of upper gastrointestinal endoscopic procedure during which another provider introduces the endoscope to but not beyond the proximal (upper) part of duodenum, the first portion of the small intestines just below the stomach."
732,"The anesthesia provider performs anesthesia services for an endoscopic retrograde cholangiopancreatography (ERCP) during which another provider introduces the endoscope to the proximal (upper) part of the duodenum, the part of the small bowel just below the stomach."
750,"The provider performs anesthesia services for hernia repairs in upper abdomen, not otherwise specified."
752,"The provider performs anesthesia services for hernia repairs in the upper abdomen, including a lumbar and ventral, or incisional, hernia and or wound dehiscence."
754,"The provider performs anesthesia services for a patient undergoing hernia repair in the upper abdomen for an omphalocele, a congenital malformation in which part of the intestine or other abdominal organs protrude into the base of the umbilical cord due to a defect in the development of the muscles of the abdominal wall."
756,"The provider performs anesthesia services for a patient undergoing transabdominal repair of a diaphragmatic hernia. The surgical procedure involves repairing a discontinuity in the respiratory diaphragm and restoring the protruding abdominal contents back into the abdominal cavity, via the transabdominal approach."
770,"The provider performs anesthesia services for a patient undergoing a procedure on the major abdominal blood vessels such as embolectomy, thrombectomy, reconstruction, repair of aneurysm, bypass graft, venous anastomosis, etc."
866,The provider performs anesthesia services for a patient undergoing removal of one or both adrenal glands.
868,The provider performs anesthesia services for a patient undergoing a renal transplant.
870,The provider performs anesthesia services for a patient undergoing removal of a stone from the bladder.
872,The provider performs anesthesia services for a patient partially submerged in liquid while undergoing treatment of a kidney stone or ureteral stone by extracorporeal shock wave.
873,"The provider performs anesthesia services for lithotripsy, extracorporeal shock wave, without water bath."
880,"The provider performs anesthesia services for procedures on major lower abdominal vessels, not otherwise specified."
882,"The provider performs anesthesia services for a procedure on major lower abdominal vessels, including inferior vena cava ligation."
840,"The provider performs anesthesia services for a patient undergoing intraperitoneal procedures in the lower abdomen, including laparoscopy, which are not specified by any other anesthesia code."
842,"The provider performs anesthesia services for a patient undergoing amniocentesis, in which another provider extracts fluid from the uterus of a pregnant female using a needle."
844,"The provider performs anesthesia services for a patient undergoing abdominoperineal resection in which the surgical provider removes large tumors lying very low down in the rectum along with the anus, the external opening of the intestines."
846,The provider performs anesthesia services for a patient undergoing a radical hysterectomy in which the surgical provider removes the uterus along with the surrounding structures.
848,The provider performs anesthesia services for an intraperitoneal procedure in the lower abdomen including laparoscopy and pelvic exenteration.
851,The provider performs anesthesia services for an intraperitoneal procedure in the lower abdomen including laparoscopy and tubal ligation/transection.
860,"The provider performs anesthesia services for an extraperitoneal procedure in lower abdomen, including the urinary tract."
862,"The provider performs anesthesia services for an extraperitoneal procedure in the lower abdomen, including the urinary tract; renal procedures, including upper one third of ureter, or donor nephrectomy."
864,"The provider performs anesthesia services for an extraperitoneal procedure in the lower abdomen, including urinary tract; total cystectomy."
865,The provider performs anesthesia services for a patient undergoing removal of the prostate and some of the surrounding tissue.
800,The provider performs anesthesia services for a patient undergoing procedures on the lower anterior abdominal wall. This code is used for procedures not specified by other anesthesia codes.
802,"The provider performs anesthesia services for a patient undergoing panniculectomy on the lower anterior abdominal wall. In this procedure the surgical provider excises excess fat and skin, called a pannus, via an incision below the navel."
811,"The provider performs anesthesia services for a patient undergoing an unspecified lower intestinal endoscopic procedure where the surgical provider introduces an endoscope into the intestines up to but not into the duodenum, the part of the intestines just below the stomach."
812,"The provider performs anesthesia services for a patient undergoing a screening colonoscopy during which the surgical provider introduces an endoscope into the intestines below the duodenum, the part of the intestines just below the stomach."
813,"The anesthesia provider performs anesthesia services for a patient undergoing both upper and lower intestinal endoscopy where the surgical provider introduces an endoscope into the intestines above and below the duodenum, the part of the intestines just next to the stomach."
820,"The provider performs anesthesia services for a patient undergoing procedures on the lower rear aspect of the abdominal wall, such as biopsy, tumor removal, muscle flap procedures, injections in the area for specific purposes, etc."
830,The provider performs anesthesia services for a patient undergoing hernia repairs in the lower abdomen. This code refers to procedures that are not specified by any other anesthesia code.
832,The provider performs anesthesia services for a patient undergoing hernia repairs in the lower abdomen such as ventral hernias and incisional hernias. The patient is older than 1 year of age.
834,The provider performs anesthesia services for a patient undergoing repair of a hernia located in the lower abdomen. The patient is a child younger than 1 year of age. This code refers to procedures not specified by any other anesthesia code.
836,The provider performs anesthesia services for a patient undergoing repair of a hernia located in the lower abdomen. The patient is an infant born at fewer than 37 weeks gestational age and younger than 50 weeks gestational age at the time of surgery. This code refers to procedures not specified by any other anesthesia code.
940,"The provider performs anesthesia services for a patient undergoing procedures on the female perineum including biopsy of the labia, vagina, cervix, or endometrium. Use this code for procedures not specified by any other anesthesia code."
942,"The provider performs anesthesia services for a patient undergoing procedures on the female vagina and associated structures including biopsy, incision into the vagina, repair of vaginal tear, or excision of the vagina and open urethral procedures."
944,The provider performs anesthesia services for a patient undergoing removal of the uterus through the vaginal approach.
948,The provider performs anesthesia services for a patient undergoing cervical cerclage in which the surgical provider uses sutures to close the cervix in a pregnant female who has an incompetent cervix. The procedure helps to prevent premature delivery.
950,The provider performs anesthesia services for a patient undergoing culdoscopy in which the surgical provider views the uterus by introducing a flexible tube with a viewing camera.
952,The provider performs anesthesia services for a patient undergoing either hysteroscopy or hysterosalpingography or both.
921,"The provider performs anesthesia services for a patient undergoing vasectomy. The surgical provider excises the vas deferens, which is the duct that carries the male reproductive cells toward the penis. The provider can perform the procedure unilaterally, with removal of the vas deferens of one side, or bilaterally, involving the vas deferens of each side."
922,"The provider performs anesthesia services for a patient undergoing a procedure related to the seminal vesicles, which are the glands secreting the components of semen."
924,The provider performs anesthesia services for a patient undergoing a procedure on an undescended testis of one or both sides.
926,"The provider performs anesthesia services for a patient undergoing surgical removal of one or both testes by an incision made into the inguinal (groin) area, typically for malignancy. The surgical provider also removes the spermatic cord."
928,"The provider performs anesthesia services for a patient undergoing surgical removal of one or both testes, typically for malignancy, along with the spermatic cord and nearby abdominal lymph nodes. The surgical provider performs the procedure by an incision made into the lower abdominal area."
930,The provider performs anesthesia services for a patient undergoing surgical treatment to move an undescended testis on one or both sides into the scrotum.
932,"The provider performs anesthesia services for a patient undergoing complete amputation or surgical removal of the penis. the male genital organ, comprising primarily erectile tissue."
934,The provider performs anesthesia services for a patient undergoing extensive amputation or surgical removal of the penis along with removal of the lymph nodes of the groin on both sides.
936,The provider performs anesthesia services for a patient undergoing extensive surgical removal of the penis along with removal of lymph nodes of the inguinal and iliac region on both sides.
938,"The provider performs anesthesia services for a patient undergoing the procedure through the perineum for penile prosthesis insertion, a procedure performed to treat erectile dysfunction in men."
902,The provider performs anesthesia services for a procedure involving the anus or rectum.
904,The provider performs anesthesia services for a radical (complete removal of all diseased tissue) perineal (the area around the genitali) procedure.
906,"The provider performs anesthesia services for a patient undergoing vulvectomy, which means excision of the external genitals of the female."
908,The provider performs anesthesia services for a patient undergoing perineal prostatectomy. In this procedure the surgical provider partially or completely removes the prostate gland by approaching it through the perineum.
910,"The provider performs anesthesia services for a patient undergoing transurethral procedures including urethrocystoscopy. The surgical provider may examine the organs of the urinary system from within by inserting a special device through the urethra, which is the external opening for urine outflow. This code is for procedures not specified by any other anesthesia code."
912,"The provider performs anesthesia services for a patient undergoing excision of one or more tumors within the bladder performed through the urethra, which is the opening for the outflow of urine."
914,"The provider performs anesthesia services for a patient undergoing removal of the prostate gland through the urethra, which is the opening for the outflow of urine."
916,"The provider performs anesthesia services for a patient requiring bleeding control following removal of a specific tissue accessed through the urethra, which is an opening for the outflow of urine."
918,"The provider performs anesthesia services for a patient undergoing fragmentation, manipulation, and/or removal of a ureteral calculus. The surgical provider accesses the ureter through the urethra, breaks and/or manipulates the stones within the urethra, and may take the stone out."
920,"The provider performs anesthesia services for a patient undergoing a procedure on male genitalia that is not specified by any other anesthesia code. As part of the procedure, the provider may incise the urethra, which is the opening for the outflow of urine."
1112,The provider performs anesthesia services for a patient undergoing the procedure of either bone marrow aspiration or biopsy or both. The procedure site is the anterior or posterior iliac crest.
1120,The provider performs anesthesia services for a patient undergoing procedures on the bony pelvis.
1130,The provider performs anesthesia services for a patient undergoing body cast application or revision. Application involves enclosing the body with a plaster shell. Revision refers to redoing the procedure for specific needs.
1140,"The provider performs anesthesia services for a patient undergoing anesthesia for interpelviabdominal amputation, which is removal of one half of the pelvis as well as one entire lower limb."
1150,"The provider performs anesthesia services for a patient undergoing radical procedures for a tumor of the pelvis, other than hindquarter amputation."
1160,The provider performs anesthesia services for a patient undergoing closed procedures involving the symphysis pubis or sacroiliac joint.
1170,The provider performs anesthesia services for a patient undergoing open procedures involving the symphysis pubis or sacroiliac joint.
1173,The provider performs anesthesia services for a patient undergoing open repair of fracture disruption of the pelvis or of column fracture involving the acetabulum.
1250,"The provider performs anesthesia services for a patient undergoing any procedure on the nerves, muscles, tendons, fascia, and bursae of the upper leg."
1260,"The provider performs anesthesia services for a patient undergoing a procedure of the veins of the upper leg, including an exploration."
1270,The provider performs anesthesia services for a patient undergoing a procedure on the arteries of the upper leg that includes placement of a bypass graft.
1272,The provider performs anesthesia services for a patient undergoing ligation and bypass graft placement of the femoral artery in the upper leg.
1274,The provider performs anesthesia services for a patient undergoing the surgical removal of an embolus and placement of a bypass graft of the femoral artery in the upper leg.
1200,The provider performs anesthesia services for a patient undergoing any closed procedure involving the hip joint. Closed means interventions that do not require an open surgical entry into the joint.
1202,The provider performs anesthesia services for a patient undergoing an arthroscopic procedure of the hip joint.
1210,The provider performs anesthesia services for a patient undergoing an open procedure of the hip joint.
1212,The provider performs anesthesia services for a patient undergoing an open disarticulation procedure of the hip joint.
1214,The provider performs anesthesia services for a patient undergoing an open total hip arthroplasty.
1215,The provider performs anesthesia services for a patient undergoing a revision of an open total hip arthroplasty.
1220,"The provider performs anesthesia services for a patient undergoing any closed procedure of the upper two thirds of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1230,"The provider performs anesthesia services for a patient undergoing an open procedure of the upper two thirds of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1232,"The provider performs anesthesia services for a patient undergoing an amputation, or removal, of the leg at the upper two thirds of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1234,"The provider performs anesthesia services for a patient undergoing a radical resection, or an extensive surgical removal of tissue, of the upper two thirds of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1420,"The provider performs anesthesia services for a patient undergoing the application, removal, or repair of a cast that includes the knee joint."
1430,The provider performs anesthesia services for a patient undergoing a procedure to the veins of the knee and the popliteal area. Report this code when there is no other code to represent this procedure.
1432,"The provider performs anesthesia services for a patient undergoing a procedure for arteriovenous fistula, or AV, in the veins of the knee and popliteal area."
1440,The provider performs anesthesia services for a patient undergoing a procedure to the arteries of the knee and popliteal area.
1442,The provider performs anesthesia services for a patient undergoing a popliteal thromboendarterectomy procedure that may include a patch graft.
1444,The provider performs anesthesia services for a patient undergoing an excision and graft or repair of the popliteal area due to an occlusion or aneurysm.
1320,"The provider performs anesthesia services for a patient undergoing any procedure on the nerves, muscles, tendons, fascia, and bursae of the knee and or the popliteal area."
1340,"The provider performs anesthesia services for a patient undergoing any closed procedure of the lower one third of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1360,"The provider performs anesthesia services for a patient undergoing any open procedure of the lower one third of the femur, or the thigh bone, the long bone that extends from the pelvis to the knee."
1380,The provider performs anesthesia services for a patient undergoing any closed procedure of the knee joint.
1382,The provider performs anesthesia services for a patient undergoing a diagnostic arthroscopic procedure of the knee joint.
1390,"The provider performs anesthesia services for a patient undergoing any closed procedure of the upper end of the tibia, fibula, and or the patella."
1392,"The provider performs anesthesia services for a patient undergoing any open procedure of the upper ends of the tibia, fibula, and or the patella."
1400,The provider performs anesthesia services for a patient undergoing an open or arthroscopic procedure on the knee joint.
1402,The provider performs anesthesia services for a patient undergoing an open or arthroscopic total knee arthroplasty.
1404,"The provider performs anesthesia services for a patient undergoing an open or arthroscopic procedure, including disarticulation, at the knee joint."
1500,The provider performs anesthesia services for a patient undergoing a procedure on the arteries of the lower leg that includes placement of a bypass graft.
1502,"The provider performs anesthesia services for a patient undergoing the direct surgical removal of an embolus or a catheter directed removal, along with the placement of a bypass graft for an artery of the lower leg."
1520,The provider performs anesthesia services for a patient undergoing a procedure on the veins of the lower leg.
1522,The provider performs anesthesia services for a patient undergoing a direct or catheter directed venous thrombectomy of a vein in the lower leg.
1462,"The provider performs anesthesia services for a patient undergoing any closed procedure of the lower leg, ankle, and foot."
1464,The provider performs anesthesia services for a patient undergoing an arthroscopic procedure of the ankle and or foot.
1470,"The provider performs anesthesia services for a patient undergoing a procedure on the nerves, muscles, tendons, and fascia of the lower leg, ankle, and foot. Report this code when no other more specific code applies."
1472,"The provider performs anesthesia services for a patient undergoing a procedure on the nerves, muscles, tendons, and fascia of lower leg, ankle, and foot, including a repair of ruptured Achilles tendon, with or without graft."
1474,"The provider performs anesthesia services for a patient undergoing a procedure on nerves, muscles, tendons, and fascia of lower leg, ankle, and foot, including a gastrocnemius recession (eg, Strayer procedure)."
1480,"The provider performs anesthesia services for a patient undergoing an open procedure on the bones of the lower leg, ankle, and foot."
1482,"The provider performs anesthesia services for a patient undergoing a procedure on the bones of lower leg, ankle, and foot, including a radical resection (including below knee amputation)."
1484,The provider performs anesthesia services for a patient undergoing an osteotomy or osteoplasty of the tibia and or fibula.
1486,The provider performs anesthesia services for a patient undergoing a total ankle replacement.
1490,"The provider performs anesthesia services for a patient undergoing the application, removal or repair of a lower leg cast."
1656,The provider performs anesthesia services for a patient undergoing a bypass graft procedure from the axillary artery to the femoral artery.
1670,The provider performs anesthesia services for a patient undergoing any procedure on the veins of the shoulder and axilla.
1680,"The provider performs anesthesia services for a patient undergoing shoulder cast application, removal, or repair not described by another anesthesia code."
1610,"The provider performs anesthesia services for a patient undergoing any procedure of the nerves, muscles, tendons, fascia, and bursae of the shoulder and axilla."
1620,"The provider performs anesthesia services for a patient undergoing any closed procedure to the humeral head and neck, sternoclavicular, acromioclavicular, and shoulder joints."
1622,The provider performs anesthesia services for a patient undergoing a diagnostic arthroscopic procedure of the shoulder joint.
1630,"The provider performs anesthesia services for a patient undergoing an open or arthroscopic procedure to the humeral head and neck, sternoclavicular, acromioclavicular, and shoulder joints."
1634,"The provider performs anesthesia services for a patient undergoing an open or surgical arthroscopic procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint, including shoulder disarticulation."
1636,"The provider performs anesthesia services for a patient undergoing an open or surgical arthroscopic procedure on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint, including an interthoracoscapular (forequarter) amputation."
1638,The provider performs anesthesia services for a patient undergoing replacement of the shoulder joint.
1650,The provider performs anesthesia services for a patient undergoing a procedure on the arteries of the shoulder and axilla that another anesthesia code does not describe.
1652,The provider performs anesthesia services for a patient undergoing surgery for an axillary–brachial artery aneurysm.
1654,The provider performs anesthesia services for a patient undergoing a bypass graft procedure for the arteries of the shoulder and axilla.
1758,"The provider performs anesthesia services for a patient undergoing arthroscopic or open excision of a cyst or tumor of the humerus, which is the long bone of the upper arm."
1760,The provider performs anesthesia services for a patient undergoing total elbow replacement.
1770,"The provider performs anesthesia services for a patient undergoing procedures on arteries of the upper arm and elbow such as the brachial, radial, and ulnar arteries. This code is used for an anesthesia procedure not specified by any other anesthesia code."
1772,"The provider performs anesthesia services for a patient undergoing embolectomy in arteries of the upper arm and elbow such as the brachial, radial, and ulnar arteries."
1780,The provider performs anesthesia services for a patient undergoing procedures on veins of the upper arm and elbow. This code is used for anesthesia procedure not specified by any other anesthesia code.
1782,"The provider performs anesthesia services for a patient undergoing phleborrhaphy, or suturing, of veins of the upper arm and elbow."
1710,"The provider performs anesthesia services for a patient undergoing procedures, not described by another anesthesia code, on the nerves, muscles, tendons, fascia, and bursae of the upper arm and elbow."
1712,The provider performs anesthesia services for a patient undergoing an open tenotomy in the area of the elbow to the shoulder.
1714,"The provider performs anesthesia services for a procedure on the nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenoplasty, elbow to shoulder."
1716,"The provider performs anesthesia services for a procedure on the nerves, muscles, tendons, fascia, and bursae of upper arm and elbow; tenodesis, rupture of long tendon of biceps."
1730,"The provider performs anesthesia services for a closed procedure on the humerus, or upper arm bone, and elbow."
1732,The provider performs anesthesia services for a diagnostic arthroscopic procedure of the elbow joint.
1740,The provider performs anesthesia services for an open or surgical arthroscopic procedure of the elbow.
